Date,SSN,F107
2008-12-31,1.0,68.7
2009-01-31,1.3,69.3225806451613
2009-02-28,1.2,69.5
2009-03-31,0.6,68.80645161290323
2009-04-30,1.2,69.3
2009-05-31,2.9,70.03225806451613
2009-06-30,6.3,68.26666666666667
2009-07-31,5.5,67.7741935483871
2009-08-31,0.0,66.96774193548387
2009-09-30,7.1,70.1
2009-10-31,7.7,71.83870967741936
2009-11-30,6.9,73.16666666666667
2009-12-31,16.3,76.25806451612904
2010-01-31,19.5,80.6774193548387
2010-02-28,28.5,84.21428571428571
2010-03-31,24.0,82.90322580645162
2010-04-30,10.4,75.53333333333333
2010-05-31,13.9,73.3225806451613
2010-06-30,18.8,72.0
2010-07-31,25.2,79.35483870967742
2010-08-31,29.6,78.96774193548387
2010-09-30,36.4,80.66666666666667
2010-10-31,33.6,81.29032258064517
2010-11-30,34.4,82.03333333333333
2010-12-31,24.5,83.64516129032258
2011-01-31,27.3,82.96666666666667
2011-02-28,48.3,94.07142857142857
2011-03-31,78.6,115.35483870967742
2011-04-30,76.1,112.16666666666667
2011-05-31,58.2,95.3225806451613
2011-06-30,56.1,96.6
2011-07-31,64.5,93.70967741935483
2011-08-31,65.8,101.38709677419355
2011-09-30,120.1,134.03333333333333
2011-10-31,125.7,136.80645161290323
2011-11-30,139.1,152.7
2011-12-31,109.3,140.90322580645162
2012-01-31,94.4,132.76666666666668
2012-02-29,47.8,106.55172413793103
2012-03-31,86.6,114.54838709677419
2012-04-30,85.9,112.63333333333334
2012-05-31,96.5,121.16129032258064
2012-06-30,92.0,120.46666666666667
2012-07-31,100.1,135.61290322580646
2012-08-31,94.8,115.3225806451613
2012-09-30,93.7,122.63333333333334
2012-10-31,76.5,122.90322580645162
2012-11-30,87.6,120.6
2012-12-31,56.8,107.96774193548387
2013-01-31,96.1,126.64516129032258
2013-02-28,60.9,103.77777777777777
2013-03-31,78.3,110.93548387096774
2013-04-30,107.3,124.76666666666667
2013-05-31,120.2,130.90322580645162
2013-06-30,76.7,109.7
2013-07-31,86.2,114.96774193548387
2013-08-31,91.8,115.03225806451613
2013-09-30,54.5,102.1
2013-10-31,114.4,131.96774193548387
2013-11-30,113.9,147.96666666666667
2013-12-31,124.2,147.29032258064515
2014-01-31,117.0,158.19354838709677
2014-02-28,146.1,169.82142857142858
2014-03-31,128.7,150.41935483870967
2014-04-30,112.5,143.1
2014-05-31,112.5,129.7741935483871
2014-06-30,102.9,121.8
2014-07-31,100.2,137.0
2014-08-31,106.9,124.83870967741936
2014-09-30,130.0,147.3
2014-10-31,90.0,154.74193548387098
2014-11-30,103.6,154.56666666666666
2014-12-31,112.9,158.41935483870967
2015-01-31,93.0,141.06666666666666
2015-02-28,66.7,128.46428571428572
2015-03-31,54.5,126.12903225806451
2015-04-30,75.3,128.56666666666666
2015-05-31,88.8,119.74193548387096
2015-06-30,66.5,125.26666666666667
2015-07-31,65.8,106.70967741935483
2015-08-31,64.4,106.74193548387096
2015-09-30,78.6,101.56666666666666
2015-10-31,63.6,103.87096774193549
2015-11-30,62.2,109.06666666666666
2015-12-31,58.0,112.25806451612904
2016-01-31,57.0,103.06451612903226
2016-02-29,56.4,103.96551724137932
2016-03-31,54.1,91.06451612903226
2016-04-30,37.9,93.03333333333333
2016-05-31,51.5,92.80645161290323
2016-06-30,20.5,81.23333333333333
2016-07-31,32.4,85.61290322580645
2016-08-31,50.2,84.9
2016-09-30,44.6,87.33333333333333
2016-10-31,33.4,85.64516129032258
2016-11-30,21.4,78.1
2016-12-31,18.5,74.61290322580645
2017-01-31,26.1,77.29032258064517
2017-02-28,26.4,76.53571428571429
2017-03-31,17.7,74.2258064516129
2017-04-30,32.3,80.63333333333334
2017-05-31,18.9,72.7741935483871
2017-06-30,19.2,74.93333333333334
2017-07-31,17.8,78.09677419354838
2017-08-31,32.6,77.74193548387096
2017-09-30,43.7,92.06666666666666
2017-10-31,13.2,76.29032258064517
2017-11-30,5.7,72.2
2017-12-31,8.2,71.58064516129032
2018-01-31,6.8,70.0
2018-02-28,10.7,72.03571428571429
2018-03-31,2.5,68.41935483870968
2018-04-30,8.9,70.13793103448276
2018-05-31,13.1,70.93548387096774
2018-06-30,15.6,72.5
2018-07-31,1.6,69.70967741935483
2018-08-31,8.7,69.06451612903226
2018-09-30,3.3,68.41379310344827
2018-10-31,4.9,69.58064516129032
2018-11-30,4.9,69.03333333333333
2018-12-31,3.1,70.0
2019-01-31,7.7,71.61290322580645
2019-02-28,0.8,70.60714285714286
2019-03-31,9.4,71.6
2019-04-30,9.1,72.46666666666667
2019-05-31,9.9,71.29032258064517
2019-06-30,1.2,68.16666666666667
2019-07-31,0.9,67.19354838709677
2019-08-31,0.5,67.19354838709677
2019-09-30,1.1,68.03333333333333
2019-10-31,0.4,67.29032258064517
